ProvinceKey,FuelKey,DateKey,Year,Month,Generation_GWh
ON,BIO,20190501,2019,5,26.4
ON,GAS,20190501,2019,5,385.4
ON,HYD,20190501,2019,5,3544.8
ON,NUC,20190501,2019,5,6938.5
ON,SOL,20190501,2019,5,66.5
ON,WND,20190501,2019,5,637.4
ON,BIO,20190601,2019,6,20.3
ON,GAS,20190601,2019,6,280.3
ON,HYD,20190601,2019,6,3119.0
ON,NUC,20190601,2019,6,8083.7
ON,SOL,20190601,2019,6,72.5
ON,WND,20190601,2019,6,381.9
ON,BIO,20190701,2019,7,34.8
ON,GAS,20190701,2019,7,1598.6
ON,HYD,20190701,2019,7,2926.0
ON,NUC,20190701,2019,7,8424.4
ON,SOL,20190701,2019,7,84.3
ON,WND,20190701,2019,7,512.5
ON,BIO,20190801,2019,8,32.9
ON,GAS,20190801,2019,8,973.5
ON,HYD,20190801,2019,8,2478.6
ON,NUC,20190801,2019,8,8473.4
ON,SOL,20190801,2019,8,83.2
ON,WND,20190801,2019,8,510.8
ON,BIO,20190901,2019,9,25.0
ON,GAS,20190901,2019,9,513.7
ON,HYD,20190901,2019,9,2340.6
ON,NUC,20190901,2019,9,7689.1
ON,SOL,20190901,2019,9,66.3
ON,WND,20190901,2019,9,701.7
ON,BIO,20191001,2019,10,13.0
ON,GAS,20191001,2019,10,316.0
ON,HYD,20191001,2019,10,2645.2
ON,NUC,20191001,2019,10,7866.7
ON,SOL,20191001,2019,10,44.0
ON,WND,20191001,2019,10,824.2
ON,BIO,20191101,2019,11,32.1
ON,GAS,20191101,2019,11,901.6
ON,HYD,20191101,2019,11,2935.8
ON,NUC,20191101,2019,11,7105.3
ON,SOL,20191101,2019,11,25.7
ON,WND,20191101,2019,11,1154.2
ON,BIO,20191201,2019,12,29.4
ON,GAS,20191201,2019,12,848.0
ON,HYD,20191201,2019,12,2988.9
ON,NUC,20191201,2019,12,7990.6
ON,SOL,20191201,2019,12,18.8
ON,WND,20191201,2019,12,1312.3
ON,BIO,20200101,2020,1,36.4
ON,GAS,20200101,2020,1,934.4
ON,HYD,20200101,2020,1,3208.5
ON,NUC,20200101,2020,1,8371.0
ON,SOL,20200101,2020,1,18.4
ON,WND,20200101,2020,1,1192.6
ON,BIO,20200201,2020,2,20.2
ON,GAS,20200201,2020,2,837.0
ON,HYD,20200201,2020,2,3121.3
ON,NUC,20200201,2020,2,6953.4
ON,SOL,20200201,2020,2,39.0
ON,WND,20200201,2020,2,1371.8
ON,BIO,20200301,2020,3,28.4
ON,GAS,20200301,2020,3,618.2
ON,HYD,20200301,2020,3,3144.5
ON,NUC,20200301,2020,3,7418.5
ON,SOL,20200301,2020,3,56.6
ON,WND,20200301,2020,3,1216.8
ON,BIO,20200401,2020,4,22.5
ON,GAS,20200401,2020,4,273.4
ON,HYD,20200401,2020,4,2927.2
ON,NUC,20200401,2020,4,7035.9
ON,SOL,20200401,2020,4,69.9
ON,WND,20200401,2020,4,967.5
ON,BIO,20200501,2020,5,31.7
ON,GAS,20200501,2020,5,461.7
ON,HYD,20200501,2020,5,3145.3
ON,NUC,20200501,2020,5,6960.1
ON,SOL,20200501,2020,5,82.8
ON,WND,20200501,2020,5,881.4
ON,BIO,20200601,2020,6,23.7
ON,GAS,20200601,2020,6,902.1
ON,HYD,20200601,2020,6,3173.6
ON,NUC,20200601,2020,6,7457.6
ON,SOL,20200601,2020,6,92.1
ON,WND,20200601,2020,6,606.6
ON,BIO,20200701,2020,7,32.0
ON,GAS,20200701,2020,7,1878.7
ON,HYD,20200701,2020,7,3250.6
ON,NUC,20200701,2020,7,8517.6
ON,SOL,20200701,2020,7,88.2
ON,WND,20200701,2020,7,514.9
ON,BIO,20200801,2020,8,17.4
ON,GAS,20200801,2020,8,1461.7
ON,HYD,20200801,2020,8,2757.0
ON,NUC,20200801,2020,8,7642.2
ON,SOL,20200801,2020,8,82.0
ON,WND,20200801,2020,8,588.8
ON,BIO,20200901,2020,9,25.4
ON,GAS,20200901,2020,9,698.2
ON,HYD,20200901,2020,9,2606.3
ON,NUC,20200901,2020,9,6622.5
ON,SOL,20200901,2020,9,66.8
ON,WND,20200901,2020,9,896.1
ON,BIO,20201001,2020,10,28.3
ON,GAS,20201001,2020,10,562.8
ON,HYD,20201001,2020,10,2866.8
ON,NUC,20201001,2020,10,6933.1
ON,SOL,20201001,2020,10,47.3
ON,WND,20201001,2020,10,902.3
ON,BIO,20201101,2020,11,17.2
ON,GAS,20201101,2020,11,436.9
ON,HYD,20201101,2020,11,2956.9
ON,NUC,20201101,2020,11,6767.2
ON,SOL,20201101,2020,11,35.5
ON,WND,20201101,2020,11,1288.5
ON,BIO,20201201,2020,12,34.2
ON,GAS,20201201,2020,12,986.1
ON,HYD,20201201,2020,12,3219.8
ON,NUC,20201201,2020,12,6811.2
ON,SOL,20201201,2020,12,18.7
ON,WND,20201201,2020,12,1402.6
ON,BIO,20210101,2021,1,26.8
ON,GAS,20210101,2021,1,969.3
ON,HYD,20210101,2021,1,3315.8
ON,NUC,20210101,2021,1,7364.4
ON,SOL,20210101,2021,1,23.6
ON,WND,20210101,2021,1,920.1
ON,BIO,20210201,2021,2,25.5
ON,GAS,20210201,2021,2,1320.8
ON,HYD,20210201,2021,2,3024.9
ON,NUC,20210201,2021,2,6059.4
ON,SOL,20210201,2021,2,42.7
ON,WND,20210201,2021,2,1200.6
ON,BIO,20210301,2021,3,28.3
ON,GAS,20210301,2021,3,637.7
ON,HYD,20210301,2021,3,3027.6
ON,NUC,20210301,2021,3,6082.2
ON,SOL,20210301,2021,3,65.6
ON,WND,20210301,2021,3,1537.3
ON,BIO,20210401,2021,4,28.1
ON,GAS,20210401,2021,4,198.9
ON,HYD,20210401,2021,4,2825.3
ON,NUC,20210401,2021,4,6609.5
ON,SOL,20210401,2021,4,70.6
ON,WND,20210401,2021,4,918.1
ON,BIO,20210501,2021,5,23.7
ON,GAS,20210501,2021,5,347.5
ON,HYD,20210501,2021,5,2834.1
ON,NUC,20210501,2021,5,7022.6
ON,SOL,20210501,2021,5,85.9
ON,WND,20210501,2021,5,740.1
ON,BIO,20210601,2021,6,24.8
ON,GAS,20210601,2021,6,1233.8
ON,HYD,20210601,2021,6,2442.0
ON,NUC,20210601,2021,6,7385.3
ON,SOL,20210601,2021,6,84.8
ON,WND,20210601,2021,6,856.1
ON,BIO,20210701,2021,7,31.8
ON,GAS,20210701,2021,7,1063.5
ON,HYD,20210701,2021,7,2846.6
ON,NUC,20210701,2021,7,7684.0
ON,SOL,20210701,2021,7,77.7
ON,WND,20210701,2021,7,604.3
ON,BIO,20210801,2021,8,33.9
ON,GAS,20210801,2021,8,2398.8
ON,HYD,20210801,2021,8,2679.2
ON,NUC,20210801,2021,8,7533.8
ON,SOL,20210801,2021,8,79.2
ON,WND,20210801,2021,8,524.2
ON,BIO,20210901,2021,9,28.4
ON,GAS,20210901,2021,9,605.8
ON,HYD,20210901,2021,9,2329.5
ON,NUC,20210901,2021,9,7120.0
ON,SOL,20210901,2021,9,67.8
ON,WND,20210901,2021,9,917.3
ON,BIO,20211001,2021,10,15.9
ON,GAS,20211001,2021,10,1036.4
ON,HYD,20211001,2021,10,2793.6
ON,NUC,20211001,2021,10,6466.1
ON,SOL,20211001,2021,10,45.3
ON,WND,20211001,2021,10,985.6
ON,BIO,20211101,2021,11,44.1
ON,GAS,20211101,2021,11,1311.1
ON,HYD,20211101,2021,11,2672.1
ON,NUC,20211101,2021,11,6243.1
ON,SOL,20211101,2021,11,35.5
ON,WND,20211101,2021,11,1330.5
ON,BIO,20211201,2021,12,36.8
ON,GAS,20211201,2021,12,1455.6
ON,HYD,20211201,2021,12,2946.1
ON,NUC,20211201,2021,12,6882.3
ON,SOL,20211201,2021,12,17.3
ON,WND,20211201,2021,12,1530.5
ON,BIO,20220101,2022,1,29.0
ON,GAS,20220101,2022,1,2326.2
ON,HYD,20220101,2022,1,3020.3
ON,NUC,20220101,2022,1,7597.4
ON,SOL,20220101,2022,1,23.2
ON,WND,20220101,2022,1,1454.8
ON,BIO,20220201,2022,2,27.0
ON,GAS,20220201,2022,2,1594.1
ON,HYD,20220201,2022,2,2707.1
ON,NUC,20220201,2022,2,6525.2
ON,SOL,20220201,2022,2,37.9
ON,WND,20220201,2022,2,1518.7
ON,BIO,20220301,2022,3,24.4
ON,GAS,20220301,2022,3,1267.0
ON,HYD,20220301,2022,3,3050.3
ON,NUC,20220301,2022,3,6516.6
ON,SOL,20220301,2022,3,55.3
ON,WND,20220301,2022,3,1433.2
ON,BIO,20220401,2022,4,11.1
ON,GAS,20220401,2022,4,398.5
ON,HYD,20220401,2022,4,3155.3
ON,NUC,20220401,2022,4,6513.3
ON,SOL,20220401,2022,4,69.8
ON,WND,20220401,2022,4,1130.2
ON,BIO,20220501,2022,5,14.1
ON,GAS,20220501,2022,5,721.6
ON,HYD,20220501,2022,5,3761.6
ON,NUC,20220501,2022,5,5827.4
ON,SOL,20220501,2022,5,81.8
ON,WND,20220501,2022,5,958.7
ON,BIO,20220601,2022,6,10.2
ON,GAS,20220601,2022,6,836.7
ON,HYD,20220601,2022,6,3280.2
ON,NUC,20220601,2022,6,6805.1
ON,SOL,20220601,2022,6,84.7
ON,WND,20220601,2022,6,828.6
ON,BIO,20220701,2022,7,42.6
ON,GAS,20220701,2022,7,1687.7
ON,HYD,20220701,2022,7,2986.0
ON,NUC,20220701,2022,7,7346.8
ON,SOL,20220701,2022,7,88.7
ON,WND,20220701,2022,7,734.9
ON,BIO,20220801,2022,8,33.2
ON,GAS,20220801,2022,8,1781.0
ON,HYD,20220801,2022,8,2947.4
ON,NUC,20220801,2022,8,7611.6
ON,SOL,20220801,2022,8,78.5
ON,WND,20220801,2022,8,638.3
ON,BIO,20220901,2022,9,32.6
ON,GAS,20220901,2022,9,1186.0
ON,HYD,20220901,2022,9,2759.2
ON,NUC,20220901,2022,9,6624.1
ON,SOL,20220901,2022,9,64.7
ON,WND,20220901,2022,9,744.0
ON,BIO,20221001,2022,10,7.6
ON,GAS,20221001,2022,10,1136.2
ON,HYD,20221001,2022,10,3056.4
ON,NUC,20221001,2022,10,5007.1
ON,SOL,20221001,2022,10,58.4
ON,WND,20221001,2022,10,1334.2
ON,BIO,20221101,2022,11,12.8
ON,GAS,20221101,2022,11,972.3
ON,HYD,20221101,2022,11,3255.1
ON,NUC,20221101,2022,11,5632.2
ON,SOL,20221101,2022,11,35.0
ON,WND,20221101,2022,11,1515.9
ON,BIO,20221201,2022,12,16.6
ON,GAS,20221201,2022,12,1853.3
ON,HYD,20221201,2022,12,3536.9
ON,NUC,20221201,2022,12,6247.0
ON,SOL,20221201,2022,12,17.9
ON,WND,20221201,2022,12,1577.5
ON,BIO,20230101,2023,1,28.2
ON,GAS,20230101,2023,1,1450.9
ON,HYD,20230101,2023,1,3550.5
ON,NUC,20230101,2023,1,7243.9
ON,SOL,20230101,2023,1,15.2
ON,WND,20230101,2023,1,1080.3
ON,BIO,20230201,2023,2,31.0
ON,GAS,20230201,2023,2,1005.5
ON,HYD,20230201,2023,2,3045.1
ON,NUC,20230201,2023,2,6388.7
ON,SOL,20230201,2023,2,37.7
ON,WND,20230201,2023,2,1450.9
ON,BIO,20230301,2023,3,25.3
ON,GAS,20230301,2023,3,988.4
ON,HYD,20230301,2023,3,3117.0
ON,NUC,20230301,2023,3,6222.3
ON,SOL,20230301,2023,3,59.7
ON,WND,20230301,2023,3,1482.6
ON,BIO,20230401,2023,4,7.6
ON,GAS,20230401,2023,4,631.1
ON,HYD,20230401,2023,4,3409.8
ON,NUC,20230401,2023,4,6159.8
ON,SOL,20230401,2023,4,69.4
ON,WND,20230401,2023,4,1179.4
ON,BIO,20230501,2023,5,13.0
ON,GAS,20230501,2023,5,771.9
ON,HYD,20230501,2023,5,3798.6
ON,NUC,20230501,2023,5,6391.4
ON,SOL,20230501,2023,5,95.3
ON,WND,20230501,2023,5,754.9
ON,BIO,20230601,2023,6,33.2
ON,GAS,20230601,2023,6,2095.2
ON,HYD,20230601,2023,6,2813.0
ON,NUC,20230601,2023,6,6295.4
ON,SOL,20230601,2023,6,79.6
ON,WND,20230601,2023,6,639.1
ON,BIO,20230701,2023,7,49.6
ON,GAS,20230701,2023,7,3054.9
ON,HYD,20230701,2023,7,2961.4
ON,NUC,20230701,2023,7,6706.8
ON,SOL,20230701,2023,7,81.5
ON,WND,20230701,2023,7,473.4
ON,BIO,20230801,2023,8,31.4
ON,GAS,20230801,2023,8,2302.3
ON,HYD,20230801,2023,8,2656.3
ON,NUC,20230801,2023,8,6920.2
ON,SOL,20230801,2023,8,75.7
ON,WND,20230801,2023,8,724.5
ON,BIO,20230901,2023,9,24.3
ON,GAS,20230901,2023,9,1980.3
ON,HYD,20230901,2023,9,2595.2
ON,NUC,20230901,2023,9,6464.3
ON,SOL,20230901,2023,9,71.7
ON,WND,20230901,2023,9,572.0
ON,BIO,20231001,2023,10,17.0
ON,GAS,20231001,2023,10,1332.5
ON,HYD,20231001,2023,10,2806.5
ON,NUC,20231001,2023,10,6534.5
ON,SOL,20231001,2023,10,44.8
ON,WND,20231001,2023,10,1195.6
ON,BIO,20231101,2023,11,12.8
ON,GAS,20231101,2023,11,1978.4
ON,HYD,20231101,2023,11,2835.6
ON,NUC,20231101,2023,11,6437.3
ON,SOL,20231101,2023,11,31.9
ON,WND,20231101,2023,11,1511.3
ON,BIO,20231201,2023,12,31.5
ON,GAS,20231201,2023,12,2231.1
ON,HYD,20231201,2023,12,3246.6
ON,NUC,20231201,2023,12,7000.3
ON,SOL,20231201,2023,12,17.9
ON,WND,20231201,2023,12,1174.6
ON,BIO,20240101,2024,1,30.1
ON,GAS,20240101,2024,1,2669.7
ON,HYD,20240101,2024,1,3418.5
ON,NUC,20240101,2024,1,7335.2
ON,SOL,20240101,2024,1,14.0
ON,WND,20240101,2024,1,1342.4
ON,BIO,20240201,2024,2,31.8
ON,GAS,20240201,2024,2,2219.2
ON,HYD,20240201,2024,2,2967.4
ON,NUC,20240201,2024,2,6302.3
ON,SOL,20240201,2024,2,45.8
ON,WND,20240201,2024,2,1275.5
ON,BIO,20240301,2024,3,26.8
ON,GAS,20240301,2024,3,1929.6
ON,HYD,20240301,2024,3,3142.9
ON,NUC,20240301,2024,3,5875.4
ON,SOL,20240301,2024,3,58.0
ON,WND,20240301,2024,3,1504.6
ON,BIO,20240401,2024,4,4.4
ON,GAS,20240401,2024,4,1485.7
ON,HYD,20240401,2024,4,3331.3
ON,NUC,20240401,2024,4,5090.0
ON,SOL,20240401,2024,4,64.2
ON,WND,20240401,2024,4,1434.9
ON,BIO,20240501,2024,5,4.5
ON,GAS,20240501,2024,5,1770.7
ON,HYD,20240501,2024,5,3728.9
ON,NUC,20240501,2024,5,5305.8
ON,SOL,20240501,2024,5,83.1
ON,WND,20240501,2024,5,901.1
ON,BIO,20240601,2024,6,15.8
ON,GAS,20240601,2024,6,1641.8
ON,HYD,20240601,2024,6,3051.2
ON,NUC,20240601,2024,6,6705.3
ON,SOL,20240601,2024,6,76.5
ON,WND,20240601,2024,6,898.0
ON,BIO,20240701,2024,7,22.8
ON,GAS,20240701,2024,7,2964.7
ON,HYD,20240701,2024,7,3211.9
ON,NUC,20240701,2024,7,7469.8
ON,SOL,20240701,2024,7,83.8
ON,WND,20240701,2024,7,481.4
ON,BIO,20240801,2024,8,42.6
ON,GAS,20240801,2024,8,2828.7
ON,HYD,20240801,2024,8,2846.7
ON,NUC,20240801,2024,8,7305.9
ON,SOL,20240801,2024,8,75.0
ON,WND,20240801,2024,8,603.2
ON,BIO,20240901,2024,9,25.7
ON,GAS,20240901,2024,9,2340.9
ON,HYD,20240901,2024,9,2592.5
ON,NUC,20240901,2024,9,7106.2
ON,SOL,20240901,2024,9,72.2
ON,WND,20240901,2024,9,714.6
ON,BIO,20241001,2024,10,31.7
ON,GAS,20241001,2024,10,1829.3
ON,HYD,20241001,2024,10,2685.7
ON,NUC,20241001,2024,10,6565.0
ON,SOL,20241001,2024,10,63.2
ON,WND,20241001,2024,10,1247.0
ON,BIO,20241101,2024,11,25.7
ON,GAS,20241101,2024,11,1488.7
ON,HYD,20241101,2024,11,3168.3
ON,NUC,20241101,2024,11,6608.8
ON,SOL,20241101,2024,11,33.2
ON,WND,20241101,2024,11,1463.2
ON,BIO,20241201,2024,12,27.4
ON,GAS,20241201,2024,12,2282.7
ON,HYD,20241201,2024,12,3187.1
ON,NUC,20241201,2024,12,7774.8
ON,SOL,20241201,2024,12,18.7
ON,WND,20241201,2024,12,1522.3
ON,BIO,20250101,2025,1,35.7
ON,GAS,20250101,2025,1,3049.8
ON,HYD,20250101,2025,1,3239.9
ON,NUC,20250101,2025,1,7269.1
ON,SOL,20250101,2025,1,27.4
ON,WND,20250101,2025,1,1832.5
ON,BIO,20250201,2025,2,25.2
ON,GAS,20250201,2025,2,3455.0
ON,HYD,20250201,2025,2,2958.1
ON,NUC,20250201,2025,2,5662.3
ON,SOL,20250201,2025,2,21.5
ON,WND,20250201,2025,2,1233.5
ON,BIO,20250301,2025,3,14.8
ON,GAS,20250301,2025,3,1691.5
ON,HYD,20250301,2025,3,3301.2
ON,NUC,20250301,2025,3,6612.0
ON,SOL,20250301,2025,3,60.7
ON,WND,20250301,2025,3,1805.3
ON,BIO,20250401,2025,4,7.7
ON,GAS,20250401,2025,4,1194.2
ON,HYD,20250401,2025,4,3502.5
ON,NUC,20250401,2025,4,6569.5
ON,OTH,20250401,2025,4,2.0
ON,SOL,20250401,2025,4,66.7
ON,WND,20250401,2025,4,1277.3
ON,BIO,20250501,2025,5,15.8
ON,GAS,20250501,2025,5,870.0
ON,HYD,20250501,2025,5,3849.6
ON,NUC,20250501,2025,5,6995.8
ON,OTH,20250501,2025,5,9.9
ON,SOL,20250501,2025,5,71.2
ON,WND,20250501,2025,5,1020.9
ON,BIO,20250601,2025,6,22.5
ON,GAS,20250601,2025,6,2133.2
ON,HYD,20250601,2025,6,3478.7
ON,NUC,20250601,2025,6,6769.5
ON,OTH,20250601,2025,6,16.2
ON,SOL,20250601,2025,6,79.4
ON,WND,20250601,2025,6,904.0
ON,BIO,20250701,2025,7,39.8
ON,GAS,20250701,2025,7,3735.7
ON,HYD,20250701,2025,7,3608.7
ON,NUC,20250701,2025,7,6735.0
ON,OTH,20250701,2025,7,18.3
ON,SOL,20250701,2025,7,85.6
ON,WND,20250701,2025,7,555.2
ON,BIO,20250801,2025,8,41.2
ON,GAS,20250801,2025,8,3370.7
ON,HYD,20250801,2025,8,2848.6
ON,NUC,20250801,2025,8,6893.7
ON,OTH,20250801,2025,8,22.2
ON,SOL,20250801,2025,8,81.0
ON,WND,20250801,2025,8,636.9
ON,BIO,20250901,2025,9,26.6
ON,GAS,20250901,2025,9,2915.2
ON,HYD,20250901,2025,9,2390.0
ON,NUC,20250901,2025,9,6351.5
ON,OTH,20250901,2025,9,24.2
ON,SOL,20250901,2025,9,73.5
ON,WND,20250901,2025,9,509.0
ON,BIO,20251001,2025,10,17.3
ON,GAS,20251001,2025,10,3045.7
ON,HYD,20251001,2025,10,2381.5
ON,NUC,20251001,2025,10,5801.6
ON,OTH,20251001,2025,10,22.8
ON,SOL,20251001,2025,10,63.3
ON,WND,20251001,2025,10,1125.9
ON,BIO,20251101,2025,11,27.3
ON,GAS,20251101,2025,11,2876.3
ON,HYD,20251101,2025,11,2655.9
ON,NUC,20251101,2025,11,5576.0
ON,OTH,20251101,2025,11,34.3
ON,SOL,20251101,2025,11,25.3
ON,WND,20251101,2025,11,1553.2
ON,BIO,20251201,2025,12,18.7
ON,GAS,20251201,2025,12,3853.3
ON,HYD,20251201,2025,12,2793.0
ON,NUC,20251201,2025,12,6679.8
ON,OTH,20251201,2025,12,28.0
ON,SOL,20251201,2025,12,14.8
ON,WND,20251201,2025,12,1720.2
ON,BIO,20260101,2026,1,28.8
ON,GAS,20260101,2026,1,4080.5
ON,HYD,20260101,2026,1,3019.6
ON,NUC,20260101,2026,1,6846.4
ON,OTH,20260101,2026,1,26.5
ON,SOL,20260101,2026,1,16.0
ON,WND,20260101,2026,1,1722.7
ON,BIO,20260201,2026,2,23.8
ON,GAS,20260201,2026,2,3904.4
ON,HYD,20260201,2026,2,2717.2
ON,NUC,20260201,2026,2,5694.6
ON,OTH,20260201,2026,2,42.1
ON,SOL,20260201,2026,2,36.1
ON,WND,20260201,2026,2,1101.9
ON,BIO,20260301,2026,3,22.2
ON,GAS,20260301,2026,3,2605.3
ON,HYD,20260301,2026,3,3179.3
ON,NUC,20260301,2026,3,7027.4
ON,OTH,20260301,2026,3,48.2
ON,SOL,20260301,2026,3,51.2
ON,WND,20260301,2026,3,1515.3
ON,BIO,20260401,2026,4,6.5
ON,GAS,20260401,2026,4,1809.3
ON,HYD,20260401,2026,4,3568.9
ON,NUC,20260401,2026,4,6143.4
ON,OTH,20260401,2026,4,49.1
ON,SOL,20260401,2026,4,60.1
ON,WND,20260401,2026,4,1309.9
ON,BIO,20260501,2026,5,1.5
ON,GAS,20260501,2026,5,1472.3
ON,HYD,20260501,2026,5,4037.5
ON,NUC,20260501,2026,5,6255.8
ON,OTH,20260501,2026,5,46.6
ON,SOL,20260501,2026,5,80.7
ON,WND,20260501,2026,5,1115.5
ON,BIO,20260601,2026,6,19.8
ON,GAS,20260601,2026,6,1240.6
ON,HYD,20260601,2026,6,1743.3
ON,NUC,20260601,2026,6,3739.9
ON,OTH,20260601,2026,6,39.8
ON,SOL,20260601,2026,6,40.6
ON,WND,20260601,2026,6,487.0
